# Shared city database source.  Fields: city|country|lat|lon|posix_tz
# Pipe-delimited because POSIX TZ strings contain commas.
# lat/lon are decimal degrees (north/east positive).
# Regenerate the C table with:  python3 tools/gen_city_db.py
# Write zones in conventional form (standard first, DST second). Ireland's
# legal 'IST-1GMT0' negative-DST spelling is behaviourally identical to
# 'GMT0IST' but reports +1 as standard, which mis-sorts it away from London.
# Accuracy: entries below carry whole-degree coordinates inherited from the
# original world-clock table (about +/-55 km).  Feed the generator a GeoNames
# extract (--geonames) for precise coordinates and far more cities.
Pago Pago|American Samoa|-14|-170|SST11
Honolulu|USA|21|-158|HST10
Anchorage|USA|61|-150|AKST9AKDT,M3.2.0,M11.1.0
Los Angeles|USA|34|-118|PST8PDT,M3.2.0,M11.1.0
San Francisco|USA|38|-122|PST8PDT,M3.2.0,M11.1.0
Seattle|USA|48|-122|PST8PDT,M3.2.0,M11.1.0
Vancouver|Canada|49|-123|PST8PDT,M3.2.0,M11.1.0
Tijuana|Mexico|32|-117|PST8PDT,M3.2.0,M11.1.0
Denver|USA|39|-105|MST7MDT,M3.2.0,M11.1.0
Phoenix|USA|33|-112|MST7
Calgary|Canada|51|-114|MST7MDT,M3.2.0,M11.1.0
Chicago|USA|41|-87|CST6CDT,M3.2.0,M11.1.0
Dallas|USA|32|-96|CST6CDT,M3.2.0,M11.1.0
Houston|USA|29|-95|CST6CDT,M3.2.0,M11.1.0
Mexico City|Mexico|19|-99|CST6
Guatemala|Guatemala|14|-90|CST6
Winnipeg|Canada|49|-97|CST6CDT,M3.2.0,M11.1.0
New York|USA|40|-74|EST5EDT,M3.2.0,M11.1.0
Washington|USA|38|-77|EST5EDT,M3.2.0,M11.1.0
Boston|USA|42|-71|EST5EDT,M3.2.0,M11.1.0
Miami|USA|25|-80|EST5EDT,M3.2.0,M11.1.0
Atlanta|USA|33|-84|EST5EDT,M3.2.0,M11.1.0
Toronto|Canada|43|-79|EST5EDT,M3.2.0,M11.1.0
Montreal|Canada|45|-73|EST5EDT,M3.2.0,M11.1.0
Havana|Cuba|23|-82|CST5CDT,M3.2.0/0,M11.1.0/1
Bogota|Colombia|4|-74|<-05>5
Lima|Peru|-12|-77|<-05>5
Panama|Panama|9|-79|EST5
Caracas|Venezuela|10|-67|<-04>4
Santiago|Chile|-33|-71|<-04>4<-03>,M9.1.6/24,M4.1.6/24
La Paz|Bolivia|-16|-68|<-04>4
